"AreaUnit","Total_Crashes","Total_Crime","Commonest_Crime","Closest_Medical_Hospital","Distance_Medical_Hospital","Closest_Childrens_Health_Hospital","Distance_Childrens_Health_Hospital","Closest_Dementia_Care_Hospital","Distance_Dementia_Care_Hospital","Closest_Geriatric_Hospital","Distance_Geriatric_Hospital","Closest_Maternity_Hospital","Distance_Maternity_Hospital","Closest_Mental_Health_Hospital","Distance_Mental_Health_Hospital","Closest_Psychogeriatric_Hospital","Distance_Psychogeriatric_Hospital","Closest_Surgical_Hospital","Distance_Surgical_Hospital","Average_decile","Primary","Secondary","Composite","Other"
"Halswell South",17,48,"Theft and Related Offences","Christchurch Hospital",7328.80391265647,"Christchurch Hospital",7328.80391265647,"Tuarangi Home",74506.4344873818,"Burwood Hospital",14808.1750533629,"Christchurch Hospital",7328.80391265647,"Hillmorton Hospital",4261.19558640473,"Burwood Hospital",14808.1750533629,"Christchurch Hospital",7328.80391265647,10,1,0,0,0
"Halswell West",86,20,"Theft and Related Offences","Christchurch Hospital",8303.7748641645,"Christchurch Hospital",8303.7748641645,"Tuarangi Home",73029.3426941517,"Burwood Hospital",15600.7420874474,"Lincoln Maternity Hospital",7781.16311088972,"Hillmorton Hospital",5209.48780537419,"Burwood Hospital",15600.7420874474,"Christchurch Hospital",8303.7748641645,69.3333333333333,2,1,0,0
"Hampstead",23,17,"Theft and Related Offences","Tuarangi Home",484.143825527617,"Timaru Hospital",68245.269444137,"Tuarangi Home",484.143825527617,"Tuarangi Home",484.143825527617,"Ashburton Hospital",1885.17835222984,"Timaru Hospital",68245.269444137,"Burwood Hospital",88368.3077111943,"Bidwill Trust Hospital",67698.7869440288,4,1,0,0,0
"Hanmer Springs",9,11,"Unlawful Entry With Intent/Burglary, Break and Enter","Waikari Hospital",50737.1881663304,"Christchurch Hospital",113540.516283064,"Tuarangi Home",176660.554056655,"Waikari Hospital",50737.1881663304,"Kaikoura Hospital",71154.0396504379,"Hillmorton Hospital",115972.509666575,"Burwood Hospital",107177.846143513,"Burwood Hospital",107177.846143513,9,1,0,0,0
"Harewood",64,35,"Theft and Related Offences","Nurse Maude Hospice",4940.61091361677,"Christchurch Hospital",6859.66735716147,"Tuarangi Home",80675.0332742396,"Burwood Hospital",9025.33522108049,"St George's Hospital",4669.37302848452,"Hillmorton Hospital",7692.04523310601,"Burwood Hospital",9025.33522108049,"St George's Hospital",4669.37302848452,6.66666666666667,2,0,0,1
"Hawthornden",29,18,"Theft and Related Offences","Nurse Maude Hospice",5780.81676676216,"Christchurch Hospital",6658.47699206074,"Tuarangi Home",77875.6109563167,"Burwood Hospital",11096.3645446095,"St George's Hospital",5541.08923312284,"Hillmorton Hospital",6183.59258559032,"Burwood Hospital",11096.3645446095,"St George's Hospital",5541.08923312284,NA,0,NA,NA,NA
"Heathcote Valley",49,41,"Theft and Related Offences","Christchurch Hospital",7403.23884980589,"Christchurch Hospital",7403.23884980589,"Tuarangi Home",84845.0936773837,"Burwood Hospital",9942.82920643473,"Christchurch Hospital",7403.23884980589,"The Princess Margaret Hospital",6644.83743905419,"Burwood Hospital",9942.82920643473,"Forte Health Hospital",7163.75745019471,9,1,0,0,0
"Hendersons Basin",38,20,"Theft and Related Offences","Christchurch Hospital",5642.84671190996,"Christchurch Hospital",5642.84671190996,"Tuarangi Home",76303.8265479528,"Burwood Hospital",13103.1086362402,"Christchurch Hospital",5642.84671190996,"The Princess Margaret Hospital",2692.52121507968,"Burwood Hospital",13103.1086362402,"Christchurch Hospital",5642.84671190996,NA,0,NA,NA,NA
"Highfield",75,49,"Theft and Related Offences","Hospice South Canterbury",854.283045666923,"Timaru Hospital",3255.30477665653,"Tuarangi Home",68207.5088399366,"Tuarangi Home",68207.5088399366,"Timaru Hospital",3255.30477665653,"Timaru Hospital",3255.30477665653,"Burwood Hospital",154219.59610146,"Bidwill Trust Hospital",1481.97966479871,7.5,1,1,0,0
"Highfield Park",66,12,"Theft and Related Offences","Burwood Hospital",2764.35282000431,"Christchurch Hospital",6414.57804472993,"Tuarangi Home",86255.4970729738,"Burwood Hospital",2764.35282000431,"St George's Hospital",4186.59252746768,"Hillmorton Hospital",9266.55587093115,"Burwood Hospital",2764.35282000431,"Burwood Hospital",2764.35282000431,NA,0,NA,NA,NA
"Hillmorton",72,48,"Theft and Related Offences","Christchurch Hospital",3949.30039253409,"Christchurch Hospital",3949.30039253409,"Tuarangi Home",77465.7318307932,"Burwood Hospital",11403.9252886289,"Christchurch Hospital",3949.30039253409,"Hillmorton Hospital",805.897602892878,"Burwood Hospital",11403.9252886289,"Christchurch Hospital",3949.30039253409,2.25,2,1,0,1
"Hinds",168,22,"Acts Intended to Cause Injury","Ashburton Hospital",13555.7175647165,"Timaru Hospital",58112.9842814342,"Tuarangi Home",13644.983982366,"Tuarangi Home",13644.983982366,"Ashburton Hospital",13555.7175647165,"Timaru Hospital",58112.9842814342,"Burwood Hospital",101674.216265314,"Bidwill Trust Hospital",57307.609456556,8,3,0,0,0
"Holmwood",36,13,"Theft and Related Offences","Nurse Maude Hospice",1702.74898067046,"Christchurch Hospital",2201.00832598824,"Tuarangi Home",80780.2258031466,"Burwood Hospital",7614.38574530884,"St George's Hospital",1620.10241500744,"Hillmorton Hospital",3702.87538778121,"Burwood Hospital",7614.38574530884,"St George's Hospital",1620.10241500744,NA,0,NA,NA,NA
"Hoon Hay",26,53,"Unlawful Entry With Intent/Burglary, Break and Enter","Christchurch Hospital",3619.92852378158,"Christchurch Hospital",3619.92852378158,"Tuarangi Home",78249.852218672,"Burwood Hospital",11052.7791265939,"Christchurch Hospital",3619.92852378158,"Hillmorton Hospital",1285.8045521619,"Burwood Hospital",11052.7791265939,"Christchurch Hospital",3619.92852378158,9,2,0,0,0
"Hoon Hay South",20,12,"Theft and Related Offences","Christchurch Hospital",4142.33743846783,"Christchurch Hospital",4142.33743846783,"Tuarangi Home",78421.3108362,"Burwood Hospital",11379.445547891,"Christchurch Hospital",4142.33743846783,"The Princess Margaret Hospital",632.406529386409,"Burwood Hospital",11379.445547891,"Christchurch Hospital",4142.33743846783,NA,0,NA,NA,NA
"Hornby North",157,336,"Theft and Related Offences","Christchurch Hospital",8007.24342497261,"Christchurch Hospital",8007.24342497261,"Tuarangi Home",74175.3483111683,"Burwood Hospital",14286.9749665748,"Christchurch Hospital",8007.24342497261,"Hillmorton Hospital",5777.14442194106,"Burwood Hospital",14286.9749665748,"Christchurch Hospital",8007.24342497261,3.33333333333333,2,1,0,0
"Hornby South",95,94,"Theft and Related Offences","Christchurch Hospital",7792.51137612455,"Christchurch Hospital",7792.51137612455,"Tuarangi Home",74067.6504956947,"Burwood Hospital",14337.375245062,"Christchurch Hospital",7792.51137612455,"Hillmorton Hospital",5351.72511843101,"Burwood Hospital",14337.375245062,"Christchurch Hospital",7792.51137612455,4,1,0,0,0
"Hurunui",153,23,"Theft and Related Offences","Waikari Hospital",12321.1517896458,"Christchurch Hospital",65845.1138791383,"Tuarangi Home",136673.577953449,"Waikari Hospital",12321.1517896458,"Rangiora Hospital",41457.8657160822,"Hillmorton Hospital",68505.276260333,"Burwood Hospital",59080.6871004016,"Burwood Hospital",59080.6871004016,6.4,4,0,1,0
"Ilam",68,33,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",4403.13512160247,"Christchurch Hospital",4643.75786482963,"Tuarangi Home",78262.3987505578,"Burwood Hospital",10204.3517769832,"St George's Hospital",4222.93465561885,"Hillmorton Hospital",4012.71258462115,"Burwood Hospital",10204.3517769832,"St George's Hospital",4222.93465561885,NA,0,NA,NA,NA
"Islington",146,86,"Theft and Related Offences","Christchurch Hospital",9504.0527510812,"Christchurch Hospital",9504.0527510812,"Tuarangi Home",72470.1795406668,"Burwood Hospital",15973.3943054082,"Christchurch Hospital",9504.0527510812,"Hillmorton Hospital",6990.59278255131,"Burwood Hospital",15973.3943054082,"Christchurch Hospital",9504.0527510812,2,1,0,0,0
"Jellie Park",50,62,"Theft and Related Offences","Nurse Maude Hospice",3170.54454747458,"Christchurch Hospital",4429.74025083131,"Tuarangi Home",80010.9285125417,"Burwood Hospital",8611.57862949249,"St George's Hospital",2927.03678226692,"Hillmorton Hospital",5065.65588325518,"Burwood Hospital",8611.57862949249,"St George's Hospital",2927.03678226692,8,1,0,0,0
"Kaiapoi East",10,11,"Theft and Related Offences","Burwood Hospital",11269.3917837379,"Christchurch Hospital",17219.3955272358,"Tuarangi Home",93550.7614475045,"Burwood Hospital",11269.3917837379,"Rangiora Hospital",11744.8614957719,"Hillmorton Hospital",19790.9825194596,"Burwood Hospital",11269.3917837379,"Burwood Hospital",11269.3917837379,NA,0,NA,NA,NA
"Kaiapoi North East",12,15,"Theft and Related Offences","Rangiora Hospital",10968.228051375,"Christchurch Hospital",18385.8658511847,"Tuarangi Home",94530.0902324013,"Burwood Hospital",12337.1668608074,"Rangiora Hospital",10968.228051375,"Hillmorton Hospital",20965.6563930757,"Burwood Hospital",12337.1668608074,"Burwood Hospital",12337.1668608074,7,1,0,0,0
"Kaiapoi North West",65,57,"Theft and Related Offences","Rangiora Hospital",10488.7508123369,"Christchurch Hospital",18166.2112389629,"Tuarangi Home",93701.9822127455,"Burwood Hospital",12430.8686816883,"Rangiora Hospital",10488.7508123369,"Hillmorton Hospital",20651.1492379064,"Burwood Hospital",12430.8686816883,"Burwood Hospital",12430.8686816883,NA,0,NA,NA,NA
"Kaiapoi South",41,118,"Theft and Related Offences","Burwood Hospital",10916.0352067613,"Christchurch Hospital",16609.0667731545,"Tuarangi Home",92658.977882412,"Burwood Hospital",10916.0352067613,"Rangiora Hospital",11853.5277392608,"Hillmorton Hospital",19116.8596136133,"Burwood Hospital",10916.0352067613,"Burwood Hospital",10916.0352067613,6,2,0,0,0
"Kaiapoi West",16,7,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",11164.8300418911,"Christchurch Hospital",16881.8784195708,"Tuarangi Home",92213.4057328008,"Burwood Hospital",11500.6459399019,"Rangiora Hospital",11164.8300418911,"Hillmorton Hospital",19287.8431376983,"Burwood Hospital",11500.6459399019,"Burwood Hospital",11500.6459399019,NA,0,NA,NA,NA
"Kaikoura Rural",185,14,"Unlawful Entry With Intent/Burglary, Break and Enter","Kaikoura Hospital",9505.74266798618,"Christchurch Hospital",160939.55329052,"Tuarangi Home",236863.464014552,"Kaikoura Hospital",9505.74266798618,"Kaikoura Hospital",9505.74266798618,"Hillmorton Hospital",163982.487541713,"Burwood Hospital",153499.139323257,"Burwood Hospital",153499.139323257,NA,0,NA,NA,NA
"Kaikoura Township",87,55,"Theft and Related Offences","Kaikoura Hospital",527.488834917493,"Christchurch Hospital",152533.071370004,"Tuarangi Home",229028.288468714,"Kaikoura Hospital",527.488834917493,"Kaikoura Hospital",527.488834917493,"Hillmorton Hospital",155591.849305701,"Burwood Hospital",145078.246489377,"Burwood Hospital",145078.246489377,NA,0,NA,NA,NA
"Kennedys Bush",6,10,"Theft and Related Offences","Christchurch Hospital",8763.41538652239,"Christchurch Hospital",8763.41538652239,"Tuarangi Home",75925.9295601304,"Burwood Hospital",15709.739720095,"Christchurch Hospital",8763.41538652239,"The Princess Margaret Hospital",4599.29454424105,"Burwood Hospital",15709.739720095,"Christchurch Hospital",8763.41538652239,NA,0,NA,NA,NA
"Kingsbury",13,12,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",466.05786486974,"Christchurch Hospital",27006.1200552682,"Tuarangi Home",95787.1962591584,"Burwood Hospital",22395.0697432176,"Rangiora Hospital",466.05786486974,"Hillmorton Hospital",28944.2036014371,"Burwood Hospital",22395.0697432176,"Burwood Hospital",22395.0697432176,NA,0,NA,NA,NA
"Kirwee",147,16,"Unlawful Entry With Intent/Burglary, Break and Enter","Darfield Hospital",8601.31034515559,"Christchurch Hospital",34302.341967458,"Tuarangi Home",54403.5036052355,"Darfield Hospital",8601.31034515559,"Lincoln Maternity Hospital",25710.8458855069,"Hillmorton Hospital",31986.340058134,"Burwood Hospital",39528.7852302842,"St George's Hospital",33996.909896324,10,2,0,0,0
"Kurow",2,NA,NA,"Hospice South Canterbury",71024.0973082153,"Timaru Hospital",72461.7609290211,"Tuarangi Home",137798.240985137,"Tuarangi Home",137798.240985137,"Timaru Hospital",72461.7609290211,"Timaru Hospital",72461.7609290211,"Burwood Hospital",225277.23594374,"Bidwill Trust Hospital",72289.245639097,NA,0,NA,NA,NA
"Lake Tekapo",24,9,"Theft and Related Offences","Hospice South Canterbury",73034.2945469311,"Timaru Hospital",77118.919529442,"Tuarangi Home",103234.439289242,"Tuarangi Home",103234.439289242,"Timaru Hospital",77118.919529442,"Timaru Hospital",77118.919529442,"Burwood Hospital",186951.923782656,"Bidwill Trust Hospital",75330.1656667119,10,1,0,0,0
"Lake Tennyson",1,NA,NA,"Waikari Hospital",58228.6813295155,"Christchurch Hospital",121196.366354096,"Tuarangi Home",183045.031363991,"Waikari Hospital",58228.6813295155,"Kaikoura Hospital",71311.3192086445,"Hillmorton Hospital",123589.539641726,"Burwood Hospital",114906.345514884,"Burwood Hospital",114906.345514884,NA,0,NA,NA,NA
"Leeston",12,14,"Theft and Related Offences","Ellesmere Hospital",458.046053049067,"Christchurch Hospital",36356.0081942963,"Tuarangi Home",46682.609508062,"Ellesmere Hospital",458.046053049067,"Lincoln Maternity Hospital",20685.4473352319,"Hillmorton Hospital",33212.2615925736,"Burwood Hospital",43792.8851006214,"Christchurch Hospital",36356.0081942963,8,1,1,0,0
"Lehmans",22,10,"Theft and Related Offences","Rangiora Hospital",2410.92180796657,"Christchurch Hospital",25737.7539343718,"Tuarangi Home",93843.9647511339,"Burwood Hospital",21534.1619105146,"Rangiora Hospital",2410.92180796657,"Hillmorton Hospital",27544.7005420513,"Burwood Hospital",21534.1619105146,"Burwood Hospital",21534.1619105146,7,1,0,0,0
"Leithfield",101,12,"Theft and Related Offences","Rangiora Hospital",18083.2389017166,"Christchurch Hospital",42327.5792685078,"Tuarangi Home",114242.704878562,"Waikari Hospital",21709.548457398,"Rangiora Hospital",18083.2389017166,"Hillmorton Hospital",44887.6527015677,"Burwood Hospital",35866.5544157752,"Burwood Hospital",35866.5544157752,7.66666666666667,3,0,0,0
"Levels",197,23,"Theft and Related Offences","Hospice South Canterbury",6378.24274888621,"Timaru Hospital",10036.8569296337,"Tuarangi Home",65221.9960230015,"Tuarangi Home",65221.9960230015,"Timaru Hospital",10036.8569296337,"Timaru Hospital",10036.8569296337,"Burwood Hospital",152375.742268549,"Bidwill Trust Hospital",8159.26714124845,9,1,0,0,0
"Lincoln",73,61,"Theft and Related Offences","Christchurch Hospital",16463.985331925,"Christchurch Hospital",16463.985331925,"Tuarangi Home",65495.9812067649,"Ellesmere Hospital",19463.8983352145,"Lincoln Maternity Hospital",801.127216669743,"Hillmorton Hospital",13324.3719036485,"Burwood Hospital",23918.3620717505,"Christchurch Hospital",16463.985331925,10,2,1,0,0
"Linwood",181,214,"Theft and Related Offences","Southern Cross Hospital Christchurch",2112.10044902198,"Christchurch Hospital",2661.42105230556,"Tuarangi Home",83824.8682977046,"Burwood Hospital",5715.47996200486,"Christchurch Hospital",2661.42105230556,"The Princess Margaret Hospital",5556.75584270792,"Burwood Hospital",5715.47996200486,"Forte Health Hospital",1655.6914917615,NA,0,NA,NA,NA
"Linwood East",76,655,"Theft and Related Offences","Southern Cross Hospital Christchurch",3743.27881418403,"Christchurch Hospital",4293.79121458011,"Tuarangi Home",85151.3232031302,"Burwood Hospital",5574.40966655502,"Christchurch Hospital",4293.79121458011,"The Princess Margaret Hospital",6453.78901270596,"Burwood Hospital",5574.40966655502,"Forte Health Hospital",3339.00744405756,NA,0,NA,NA,NA
"Linwood North",84,99,"Theft and Related Offences","Southern Cross Hospital Christchurch",3323.03351298337,"Christchurch Hospital",3998.27008820494,"Tuarangi Home",85033.1266513742,"Burwood Hospital",5270.36787542532,"Christchurch Hospital",3998.27008820494,"The Princess Margaret Hospital",6462.70643390494,"Burwood Hospital",5270.36787542532,"Forte Health Hospital",2958.54593567158,4,0,0,1,0
"Little River",107,1,"Unlawful Entry With Intent/Burglary, Break and Enter","Christchurch Hospital",26104.0150374835,"Christchurch Hospital",26104.0150374835,"Tuarangi Home",78822.7514416465,"Burwood Hospital",30980.7585955901,"Lincoln Maternity Hospital",22845.8532437289,"The Princess Margaret Hospital",22285.699644227,"Burwood Hospital",30980.7585955901,"Christchurch Hospital",26104.0150374835,9,1,0,0,0
"Loburn",49,10,"Theft and Related Offences","Rangiora Hospital",5036.24983896678,"Christchurch Hospital",31637.2474911312,"Tuarangi Home",96913.7033188964,"Burwood Hospital",27414.6111347781,"Rangiora Hospital",5036.24983896678,"Hillmorton Hospital",33366.6711639672,"Burwood Hospital",27414.6111347781,"Burwood Hospital",27414.6111347781,9,2,0,0,0
"Lyttelton",99,57,"Unlawful Entry With Intent/Burglary, Break and Enter","Christchurch Hospital",9827.21143498245,"Christchurch Hospital",9827.21143498245,"Tuarangi Home",82629.3321940504,"Burwood Hospital",13871.5994586017,"Christchurch Hospital",9827.21143498245,"The Princess Margaret Hospital",7217.53679306504,"Burwood Hospital",13871.5994586017,"Christchurch Hospital",9827.21143498245,9,1,0,0,0
"Mackenzie",363,14,"Theft and Related Offences","Hospice South Canterbury",68209.3478991678,"Timaru Hospital",72259.1309060894,"Tuarangi Home",104303.643862224,"Tuarangi Home",104303.643862224,"Timaru Hospital",72259.1309060894,"Timaru Hospital",72259.1309060894,"Burwood Hospital",189585.337075803,"Bidwill Trust Hospital",70536.8740773896,6.5,2,0,0,0
"Mairaki",13,2,"Theft and Related Offences","Oxford Hospital",11532.4843634425,"Christchurch Hospital",34345.57689821,"Tuarangi Home",81203.5433709475,"Oxford Hospital",11532.4843634425,"Rangiora Hospital",21018.6290116197,"Hillmorton Hospital",34400.7436794163,"Burwood Hospital",34174.8477427714,"St George's Hospital",32110.5747754912,NA,0,NA,NA,NA
"Mairehau",40,26,"Theft and Related Offences","Nurse Maude Hospice",1845.54042300255,"Christchurch Hospital",3772.91352025347,"Tuarangi Home",84323.2172231494,"Burwood Hospital",4069.69163096048,"St George's Hospital",1984.83500351108,"Hillmorton Hospital",6724.82846886628,"Burwood Hospital",4069.69163096048,"St George's Hospital",1984.83500351108,7,1,0,0,0
"Mairehau North",45,51,"Theft and Related Offences","Burwood Hospital",2834.84062790878,"Christchurch Hospital",5184.4507670011,"Tuarangi Home",85607.1883055175,"Burwood Hospital",2834.84062790878,"St George's Hospital",3268.84197643017,"Hillmorton Hospital",8152.55360238999,"Burwood Hospital",2834.84062790878,"Burwood Hospital",2834.84062790878,4,0,1,0,0
"Malvern",214,23,"Theft and Related Offences","Darfield Hospital",28623.1835758417,"Christchurch Hospital",67784.5045737735,"Tuarangi Home",63479.067454926,"Darfield Hospital",28623.1835758417,"Rangiora Hospital",61905.889070169,"Hillmorton Hospital",66274.4109794277,"Burwood Hospital",70770.911698257,"St George's Hospital",66544.5107716756,8.2,5,0,0,0
"Mandeville",56,8,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",12825.8293337177,"Christchurch Hospital",18071.0967624769,"Tuarangi Home",84023.5664347392,"Burwood Hospital",16731.5907819852,"Rangiora Hospital",12825.8293337177,"Hillmorton Hospital",19033.3451446455,"Burwood Hospital",16731.5907819852,"St George's Hospital",15514.9224646415,10,1,0,0,0
"Mansfield",8,13,"Unlawful Entry With Intent/Burglary, Break and Enter","Burwood Hospital",10452.1391511004,"Christchurch Hospital",15966.9155279043,"Tuarangi Home",91945.8890492291,"Burwood Hospital",10452.1391511004,"Rangiora Hospital",12222.9579989583,"Hillmorton Hospital",18438.9837595387,"Burwood Hospital",10452.1391511004,"Burwood Hospital",10452.1391511004,4,0,1,0,1
"Maori Park",55,15,"Unlawful Entry With Intent/Burglary, Break and Enter","Hospice South Canterbury",2156.99296393733,"Timaru Hospital",2472.567273925,"Tuarangi Home",67288.945693705,"Tuarangi Home",67288.945693705,"Timaru Hospital",2472.567273925,"Timaru Hospital",2472.567273925,"Burwood Hospital",153113.25657392,"Bidwill Trust Hospital",695.314113943477,6,1,0,0,0
"Marchwiel",53,36,"Theft and Related Offences","Hospice South Canterbury",1510.55408268034,"Timaru Hospital",3757.19259859499,"Tuarangi Home",66996.421069244,"Tuarangi Home",66996.421069244,"Timaru Hospital",3757.19259859499,"Timaru Hospital",3757.19259859499,"Burwood Hospital",153083.837735412,"Bidwill Trust Hospital",1889.98291003129,5,3,1,0,0
"Mcleans Island",37,9,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",9789.19775946157,"Christchurch Hospital",11071.89366519,"Tuarangi Home",76737.7983312767,"Burwood Hospital",14209.4910515917,"St George's Hospital",9523.70505243883,"Hillmorton Hospital",10572.0242362712,"Burwood Hospital",14209.4910515917,"St George's Hospital",9523.70505243883,NA,0,NA,NA,NA
"Merivale",86,171,"Theft and Related Offences","Nurse Maude Hospice",624.332696613873,"Christchurch Hospital",1959.81503782084,"Tuarangi Home",82070.4636722434,"Burwood Hospital",6346.80274118722,"St George's Hospital",770.686430657139,"Hillmorton Hospital",4513.79011561452,"Burwood Hospital",6346.80274118722,"St George's Hospital",770.686430657139,8.8,2,1,1,1
"Merrin",16,45,"Theft and Related Offences","Nurse Maude Hospice",5025.79808007703,"Christchurch Hospital",5913.47008405126,"Tuarangi Home",78391.4583450249,"Burwood Hospital",10425.832086217,"St George's Hospital",4789.66488640599,"Hillmorton Hospital",5627.23491954491,"Burwood Hospital",10425.832086217,"St George's Hospital",4789.66488640599,8,1,0,0,0
"Methven",14,12,"Unlawful Entry With Intent/Burglary, Break and Enter","Ashburton Hospital",30476.121673461,"Christchurch Hospital",79783.7271029915,"Tuarangi Home",31868.355999624,"Tuarangi Home",31868.355999624,"Ashburton Hospital",30476.121673461,"Hillmorton Hospital",77181.2433028242,"Burwood Hospital",85426.8509521642,"St George's Hospital",79760.7861051741,8.66666666666667,2,1,0,0
"Middleton",214,199,"Theft and Related Offences","Christchurch Hospital",3250.3426434066,"Christchurch Hospital",3250.3426434066,"Tuarangi Home",78127.4253674677,"Burwood Hospital",10418.8623969735,"Christchurch Hospital",3250.3426434066,"Hillmorton Hospital",1168.35936553283,"Burwood Hospital",10418.8623969735,"Christchurch Hospital",3250.3426434066,NA,0,NA,NA,NA
"Mona Vale",112,186,"Theft and Related Offences","Christchurch Hospital",1857.06936759973,"Christchurch Hospital",1857.06936759973,"Tuarangi Home",80144.8752450817,"Burwood Hospital",8299.60167575061,"Christchurch Hospital",1857.06936759973,"Hillmorton Hospital",2767.0352372438,"Burwood Hospital",8299.60167575061,"Christchurch Hospital",1857.06936759973,6.5,1,1,0,0
"Moncks Bay",39,21,"Theft and Related Offences","Southern Cross Hospital Christchurch",9955.29773408688,"Christchurch Hospital",9988.18216225922,"Tuarangi Home",87837.563408739,"Burwood Hospital",10451.6084241291,"Christchurch Hospital",9988.18216225922,"The Princess Margaret Hospital",9773.53502389709,"Burwood Hospital",10451.6084241291,"Forte Health Hospital",9442.59718280716,10,1,0,0,0
"Mt Pleasant",37,19,"Theft and Related Offences","Christchurch Hospital",8137.25311651749,"Christchurch Hospital",8137.25311651749,"Tuarangi Home",86412.5193761503,"Burwood Hospital",9354.57903493508,"Christchurch Hospital",8137.25311651749,"The Princess Margaret Hospital",8011.87926128538,"Burwood Hospital",9354.57903493508,"Forte Health Hospital",7646.16099930241,10,1,0,0,0
"Mt Somers",129,27,"Theft and Related Offences","Ashburton Hospital",28549.5409491414,"Timaru Hospital",83477.2155853745,"Tuarangi Home",29931.3082781453,"Tuarangi Home",29931.3082781453,"Ashburton Hospital",28549.5409491414,"Timaru Hospital",83477.2155853745,"Burwood Hospital",94800.0545899363,"Bidwill Trust Hospital",82338.0419736467,8.33333333333333,3,0,0,0
"Netherby",21,31,"Theft and Related Offences","Tuarangi Home",990.709209004965,"Timaru Hospital",69361.5866286165,"Tuarangi Home",990.709209004965,"Tuarangi Home",990.709209004965,"Ashburton Hospital",1506.15542545476,"Timaru Hospital",69361.5866286165,"Burwood Hospital",87407.7776177454,"Bidwill Trust Hospital",68809.82953157,3,1,0,0,0
"New Brighton",45,64,"Unlawful Entry With Intent/Burglary, Break and Enter","Burwood Hospital",5045.11660762127,"Christchurch Hospital",8787.74591858688,"Tuarangi Home",89840.9741069689,"Burwood Hospital",5045.11660762127,"Christchurch Hospital",8787.74591858688,"The Princess Margaret Hospital",11046.279139505,"Burwood Hospital",5045.11660762127,"Burwood Hospital",5045.11660762127,9,1,0,0,0
"North Beach",54,90,"Theft and Related Offences","Burwood Hospital",2659.30529435058,"Christchurch Hospital",8649.01994248225,"Tuarangi Home",89963.5039612181,"Burwood Hospital",2659.30529435058,"St George's Hospital",7930.24515464322,"The Princess Margaret Hospital",11768.569593711,"Burwood Hospital",2659.30529435058,"Burwood Hospital",2659.30529435058,5,1,2,0,0
"Northcote",129,539,"Theft and Related Offences","Nurse Maude Hospice",2658.13859052238,"Christchurch Hospital",5192.63969093293,"Tuarangi Home",83240.2027652969,"Burwood Hospital",5749.67044782826,"St George's Hospital",2463.96036882416,"Hillmorton Hospital",7319.15280392699,"Burwood Hospital",5749.67044782826,"St George's Hospital",2463.96036882416,8,1,1,0,0
"Oaklands East",24,129,"Theft and Related Offences","Christchurch Hospital",6979.46320136574,"Christchurch Hospital",6979.46320136574,"Tuarangi Home",74504.0901245611,"Burwood Hospital",14421.753402143,"Christchurch Hospital",6979.46320136574,"Hillmorton Hospital",3833.32674021261,"Burwood Hospital",14421.753402143,"Christchurch Hospital",6979.46320136574,9,1,0,0,0
"Oaklands West",29,6,"Acts Intended to Cause Injury","Christchurch Hospital",7738.22038312984,"Christchurch Hospital",7738.22038312984,"Tuarangi Home",73603.2323917582,"Burwood Hospital",14896.7879999011,"Christchurch Hospital",7738.22038312984,"Hillmorton Hospital",4754.9316424844,"Burwood Hospital",14896.7879999011,"Christchurch Hospital",7738.22038312984,NA,0,NA,NA,NA
"Ohoka",24,9,"Theft and Related Offences","Rangiora Hospital",11608.8617125818,"Christchurch Hospital",16034.8077769034,"Tuarangi Home",87649.7535067366,"Burwood Hospital",12847.8913708822,"Rangiora Hospital",11608.8617125818,"Hillmorton Hospital",17770.9571139435,"Burwood Hospital",12847.8913708822,"Burwood Hospital",12847.8913708822,10,1,0,0,0
"Okuku",17,2,"Unlawful Entry With Intent/Burglary, Break and Enter","Oxford Hospital",14978.1191790565,"Christchurch Hospital",41356.8117824361,"Tuarangi Home",89442.8197727846,"Oxford Hospital",14978.1191790565,"Rangiora Hospital",21515.126955584,"Hillmorton Hospital",41911.6556444482,"Burwood Hospital",39791.6333553061,"St George's Hospital",38880.2696807184,NA,0,NA,NA,NA
"Omarama",16,7,"Theft and Related Offences","Hospice South Canterbury",99445.2975268962,"Timaru Hospital",102431.298118918,"Tuarangi Home",155744.143741402,"Tuarangi Home",155744.143741402,"Timaru Hospital",102431.298118918,"Timaru Hospital",102431.298118918,"Burwood Hospital",243695.659568567,"Bidwill Trust Hospital",101456.369412831,NA,0,NA,NA,NA
"Opawa",102,126,"Theft and Related Offences","Christchurch Hospital",3539.00515214329,"Christchurch Hospital",3539.00515214329,"Tuarangi Home",82835.7931775371,"Burwood Hospital",8036.96144342411,"Christchurch Hospital",3539.00515214329,"The Princess Margaret Hospital",3956.86963466603,"Burwood Hospital",8036.96144342411,"Forte Health Hospital",3483.51800572133,5.75,2,0,2,0
