HourOfDay,DayOfWeek,CrimeType,AreaUnit,Victimisations,Year,Month
15,Sat,"Robbery, Extortion and Related Offences",Redwood North,1,2020,10
2,Sat,"Robbery, Extortion and Related Offences",Aorangi,1,2020,10
7,Sat,Theft and Related Offences,Maori Park,1,2021,2
9,Sat,Theft and Related Offences,Linwood,1,2021,2
21,Sat,Theft and Related Offences,New Brighton,1,2021,3
22,Sat,Theft and Related Offences,Phillipstown,1,2021,3
16,Thu,Theft and Related Offences,Strowan,1,2020,9
16,Thu,Theft and Related Offences,Clarkville,1,2020,9
17,Thu,Theft and Related Offences,Addington,1,2020,9
17,Thu,Theft and Related Offences,Middleton,1,2020,9
7,Tue,"Unlawful Entry With Intent/Burglary, Break and Enter",Hendersons Basin,1,2021,7
19,Tue,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2021,8
5,Tue,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2021,8
13,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Halswell South,1,2021,1
4,Wed,Theft and Related Offences,Prestons,1,2021,1
10,Wed,Theft and Related Offences,Avonhead West,1,2021,1
10,Wed,Theft and Related Offences,Linwood East,1,2021,1
10,Wed,Theft and Related Offences,Northcote,1,2021,1
23,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Parklands,1,2020,10
5,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Oaklands West,1,2020,10
0,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Lyttelton,1,2020,11
0,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Avonside,1,2020,11
16,Sat,"Robbery, Extortion and Related Offences",Bexley,1,2021,7
22,Sat,"Robbery, Extortion and Related Offences",Cathedral Square,1,2021,7
23,Sat,"Robbery, Extortion and Related Offences",St Albans East,1,2021,8
16,Sun,"Robbery, Extortion and Related Offences",Pareora,1,2021,2
1,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Mairehau,1,2020,11
1,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Sawyers Arms,1,2020,11
1,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Yaldhurst,1,2020,11
12,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood,1,2020,11
13,Sun,"Robbery, Extortion and Related Offences",Northcote,1,2020,11
2,Thu,"Robbery, Extortion and Related Offences",Merivale,1,2020,10
15,Thu,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,12
21,Tue,"Robbery, Extortion and Related Offences",Addington,1,2020,12
6,Sat,Theft and Related Offences,Linwood East,1,2021,4
1,Sat,Theft and Related Offences,Wainoni,1,2021,5
21,Sat,Theft and Related Offences,Sumner,1,2021,5
16,Sat,Theft and Related Offences,Avondale,1,2021,7
17,Thu,Theft and Related Offences,Sawyers Arms,1,2020,9
17,Thu,Theft and Related Offences,Sydenham,1,2020,9
18,Thu,Theft and Related Offences,Middleton,1,2020,9
18,Thu,Theft and Related Offences,Prestons,1,2020,9
15,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Avondale,1,2021,1
18,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Ensors,1,2021,1
10,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Kirwee,1,2021,3
0,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Riccarton,1,2021,4
10,Wed,Theft and Related Offences,Shirley East,1,2021,1
10,Wed,Theft and Related Offences,Highfield,1,2021,1
11,Wed,Theft and Related Offences,Riccarton,1,2021,1
11,Wed,Theft and Related Offences,Parkside,1,2021,1
19,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Rolleston South East,1,2021,4
12,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Edgeware,1,2021,5
3,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Shirley West,1,2021,5
16,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood,1,2021,6
13,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2020,11
13,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood,1,2020,11
17,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Harewood,1,2020,11
17,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora West,1,2020,11
0,Wed,"Robbery, Extortion and Related Offences",Waltham,1,2020,9
22,Fri,Sexual Assault and Related Offences,Sydenham,1,2020,9
18,Fri,Sexual Assault and Related Offences,Richmond North,1,2020,10
22,Fri,Sexual Assault and Related Offences,Aranui,1,2021,1
22,Sat,Theft and Related Offences,Phillipstown,1,2021,7
3,Sat,Theft and Related Offences,Shirley East,1,2021,7
0,Sat,Theft and Related Offences,Yaldhurst,1,2021,7
16,Sat,Theft and Related Offences,Cathedral Square,1,2021,7
18,Thu,Theft and Related Offences,Riccarton,1,2020,9
18,Thu,Theft and Related Offences,Sockburn,1,2020,9
18,Thu,Theft and Related Offences,Spreydon,1,2020,9
19,Thu,Theft and Related Offences,Rawhiti,1,2020,9
10,Sat,Theft and Related Offences,Jellie Park,1,2021,2
11,Sat,Theft and Related Offences,Sydenham,1,2021,2
13,Sat,Theft and Related Offences,Redwood South,1,2021,2
15,Sat,Theft and Related Offences,Belfast,1,2021,2
14,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Styx,1,2021,7
15,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao,1,2021,7
11,Wed,Theft and Related Offences,Twizel Community,1,2021,1
23,Sat,Acts Intended to Cause Injury,Aviemore,1,2020,10
17,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Riccarton South,1,2020,11
19,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Avondale,1,2020,11
19,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown,1,2020,11
2,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Mandeville,1,2020,11
12,Mon,Sexual Assault and Related Offences,Linwood East,1,2020,12
17,Mon,Sexual Assault and Related Offences,Hagley Park,1,2021,1
12,Sat,Sexual Assault and Related Offences,Hagley Park,1,2020,12
6,Sat,Sexual Assault and Related Offences,St Albans East,1,2020,12
2,Thu,Theft and Related Offences,Prestons,1,2020,9
20,Thu,Theft and Related Offences,Seaview,1,2020,9
21,Thu,Theft and Related Offences,Barrington North,1,2020,9
21,Thu,Theft and Related Offences,Opawa,1,2020,9
20,Sat,Sexual Assault and Related Offences,Pegasus,1,2021,1
21,Sun,Sexual Assault and Related Offences,Marchwiel,1,2020,10
17,Sun,Sexual Assault and Related Offences,Orari,1,2021,1
5,Sun,Sexual Assault and Related Offences,Hagley Park,1,2021,1
15,Thu,Sexual Assault and Related Offences,Wainoni,1,2020,10
12,Wed,Theft and Related Offences,Cathedral Square,1,2021,1
12,Wed,Theft and Related Offences,Linwood East,1,2021,1
12,Wed,Theft and Related Offences,Westburn,1,2021,1
13,Wed,Theft and Related Offences,Cathedral Square,1,2021,1
5,Sat,Theft and Related Offences,Hornby South,1,2021,2
21,Sat,Theft and Related Offences,Parkside,1,2021,3
7,Sat,Theft and Related Offences,Styx,1,2021,3
9,Sat,Theft and Related Offences,Cashmere East,1,2021,3
22,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Ensors,1,2020,11
22,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2020,11
23,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Hawthornden,1,2020,11
5,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Tinwald,1,2020,11
13,Wed,Theft and Related Offences,Mairehau North,1,2021,1
14,Wed,Theft and Related Offences,Riccarton,1,2021,1
14,Wed,Theft and Related Offences,St Albans East,1,2021,1
14,Wed,Theft and Related Offences,Rolleston North East,1,2021,1
5,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Loburn,1,2020,11
6,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Ensors,1,2020,11
9,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Clarkville,1,2020,11
21,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Avonside,1,2020,11
21,Thu,Theft and Related Offences,Seaview,1,2020,9
7,Thu,Theft and Related Offences,Shirley East,1,2020,9
10,Thu,Theft and Related Offences,Barrington North,1,2020,10
10,Thu,Theft and Related Offences,Westburn,1,2020,10
8,Thu,Sexual Assault and Related Offences,Mairehau,1,2020,11
8,Thu,Sexual Assault and Related Offences,Wigram,1,2020,11
15,Thu,Sexual Assault and Related Offences,Linwood North,1,2020,12
8,Thu,Sexual Assault and Related Offences,Parkside,1,2021,1
10,Thu,Theft and Related Offences,Waimataitai,1,2020,10
11,Thu,Theft and Related Offences,Cashmere West,1,2020,10
11,Thu,Theft and Related Offences,Middleton,1,2020,10
11,Thu,Theft and Related Offences,Sydenham,1,2020,10
14,Tue,Sexual Assault and Related Offences,Amuri,1,2020,9
21,Tue,Sexual Assault and Related Offences,Wainoni,1,2020,9
15,Tue,Sexual Assault and Related Offences,Phillipstown,1,2020,11
16,Tue,Sexual Assault and Related Offences,Casebrook,1,2020,11
13,Sat,Theft and Related Offences,Edgeware,1,2021,4
19,Sat,Theft and Related Offences,Bromley,1,2021,4
7,Sat,Theft and Related Offences,Ashburton Central East,1,2021,4
16,Sat,Theft and Related Offences,Timaru Gardens,1,2021,6
15,Wed,Theft and Related Offences,Hornby North,1,2021,1
15,Wed,Theft and Related Offences,Hornby North,1,2021,1
15,Wed,Theft and Related Offences,Shirley East,1,2021,1
15,Wed,Theft and Related Offences,Southbrook,1,2021,1
1,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Westmorland,1,2020,12
10,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Avon Loop,1,2020,12
15,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood North,1,2020,12
16,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Aorangi,1,2020,12
18,Sat,Theft and Related Offences,Hillmorton,1,2021,6
22,Sat,Theft and Related Offences,Barrington North,1,2021,6
11,Sat,Theft and Related Offences,Rangiora East,1,2021,2
17,Sat,Theft and Related Offences,North Beach,1,2021,4
16,Wed,Theft and Related Offences,Hornby North,1,2021,1
16,Wed,Theft and Related Offences,Middleton,1,2021,1
16,Wed,Theft and Related Offences,Papanui,1,2021,1
16,Wed,Theft and Related Offences,Riccarton,1,2021,1
18,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Bishopdale North,1,2020,12
2,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Papanui,1,2020,12
22,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Ashburton Central West,1,2020,12
22,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Merivale,1,2020,12
12,Thu,Theft and Related Offences,Sockburn,1,2020,10
13,Thu,Theft and Related Offences,Bishopdale North,1,2020,10
13,Thu,Theft and Related Offences,Oaklands East,1,2020,10
13,Thu,Theft and Related Offences,Opawa,1,2020,10
23,Tue,Sexual Assault and Related Offences,Riccarton West,1,2020,11
14,Tue,Sexual Assault and Related Offences,Twizel Community,1,2020,12
0,Wed,Sexual Assault and Related Offences,Marchwiel,1,2020,10
16,Wed,Sexual Assault and Related Offences,Marchwiel,1,2020,11
9,Fri,Theft and Related Offences,Sydenham,1,2020,9
3,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Rolleston South West,1,2020,12
3,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton,1,2020,12
8,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Hinds,1,2020,12
16,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood North,1,2021,1
13,Sat,Theft and Related Offences,Northcote,1,2021,5
16,Sat,Theft and Related Offences,Wainoni,1,2021,5
16,Sat,Theft and Related Offences,Rolleston North East,1,2021,5
17,Sat,Theft and Related Offences,Hornby North,1,2021,5
17,Wed,Theft and Related Offences,Avon Loop,1,2021,1
17,Wed,Theft and Related Offences,Belfast,1,2021,1
17,Wed,Theft and Related Offences,Linwood East,1,2021,1
17,Wed,Theft and Related Offences,Northcote,1,2021,1
1,Fri,Theft and Related Offences,Hagley Park,1,2020,10
6,Fri,Theft and Related Offences,Holmwood,1,2020,10
7,Fri,Theft and Related Offences,Avonhead,1,2020,10
0,Fri,Theft and Related Offences,Kaiapoi North East,1,2020,11
11,Fri,Theft and Related Offences,Woodend,1,2020,11
17,Wed,Theft and Related Offences,Richmond South,1,2021,1
17,Wed,Theft and Related Offences,Temuka,1,2021,1
18,Wed,Theft and Related Offences,Richmond South,1,2021,1
18,Wed,Theft and Related Offences,Wigram,1,2021,1
21,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
13,Fri,Theft and Related Offences,Opawa,1,2020,11
11,Fri,Theft and Related Offences,Russley,1,2020,12
7,Fri,Theft and Related Offences,South Brighton,1,2020,12
13,Thu,Theft and Related Offences,Upper Riccarton,1,2020,10
13,Thu,Theft and Related Offences,Rangiora North,1,2020,10
14,Thu,Theft and Related Offences,Belfast,1,2020,10
14,Thu,Theft and Related Offences,Sydenham,1,2020,10
0,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Riccarton West,1,2021,1
12,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Bishopdale,1,2021,1
13,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Redwood South,1,2021,1
14,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Avonhead,1,2021,1
19,Sat,Theft and Related Offences,Linwood North,1,2021,5
19,Sat,Theft and Related Offences,Hornby North,1,2021,6
16,Sat,Theft and Related Offences,Cathedral Square,1,2021,7
14,Sat,Theft and Related Offences,Cathedral Square,1,2021,8
16,Thu,Theft and Related Offences,Belfast South,1,2020,10
16,Thu,Theft and Related Offences,Redwood North,1,2020,10
17,Thu,Theft and Related Offences,Shirley West,1,2020,10
17,Thu,Theft and Related Offences,Woolston West,1,2020,10
13,Sat,Theft and Related Offences,West Melton,2,2021,7
19,Sun,Theft and Related Offences,Yaldhurst,1,2021,2
12,Sun,Theft and Related Offences,Rolleston South East,1,2021,3
14,Sun,Theft and Related Offences,Spreydon,1,2021,3
19,Wed,Theft and Related Offences,Cathedral Square,1,2021,1
20,Wed,Theft and Related Offences,Linwood East,1,2021,1
20,Wed,Theft and Related Offences,Spreydon,1,2021,1
21,Wed,Theft and Related Offences,Linwood East,1,2021,1
11,Fri,Theft and Related Offences,Yaldhurst,1,2021,1
2,Fri,Theft and Related Offences,Yaldhurst,1,2021,1
5,Fri,Theft and Related Offences,Travis,1,2021,1
21,Fri,Theft and Related Offences,Russley,1,2021,1
16,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon,1,2021,1
18,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Kaikoura Township,1,2021,1
2,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Lyttelton,1,2021,1
2,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Springston,1,2021,1
18,Thu,Theft and Related Offences,Casebrook,1,2020,10
18,Thu,Theft and Related Offences,Opawa,1,2020,10
18,Thu,Theft and Related Offences,Yaldhurst,1,2020,10
19,Thu,Theft and Related Offences,Belfast,1,2020,10
22,Sun,Theft and Related Offences,Bryndwr,1,2021,3
23,Sun,Theft and Related Offences,Bromley,1,2021,3
1,Sun,Theft and Related Offences,Rangiora North,1,2021,5
14,Sun,Theft and Related Offences,Hornby South,1,2021,5
22,Wed,Theft and Related Offences,Cathedral Square,1,2021,1
22,Wed,Theft and Related Offences,Linwood East,1,2021,1
22,Wed,Theft and Related Offences,Mona Vale,1,2021,1
9,Wed,Theft and Related Offences,Cathedral Square,1,2021,1
9,Fri,Theft and Related Offences,North Beach,1,2021,1
18,Fri,Theft and Related Offences,Deans Bush,2,2020,11
16,Fri,Theft and Related Offences,Jellie Park,1,2020,9
16,Fri,Theft and Related Offences,Sawyers Arms,1,2020,9
19,Thu,Theft and Related Offences,Linwood East,1,2020,10
19,Thu,Theft and Related Offences,Spreydon,1,2020,10
19,Thu,Theft and Related Offences,Styx,1,2020,10
19,Thu,Theft and Related Offences,Seaview,1,2020,10
9,Wed,Theft and Related Offences,Cathedral Square,1,2021,1
9,Wed,Theft and Related Offences,Rawhiti,1,2021,1
9,Wed,Theft and Related Offences,Richmond South,1,2021,1
9,Wed,Theft and Related Offences,Shirley West,1,2021,1
20,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Riccarton,1,2021,1
3,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Mansfield,1,2021,1
4,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Belfast,1,2021,1
8,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Aranui,1,2021,1
22,Fri,Theft and Related Offences,Aranui,1,2020,9
12,Fri,Theft and Related Offences,Cathedral Square,1,2020,9
12,Fri,Theft and Related Offences,Rangiora East,1,2020,9
20,Fri,Theft and Related Offences,Woodend,1,2020,9
11,Fri,Theft and Related Offences,Shirley West,1,2020,10
20,Thu,Theft and Related Offences,Barrington North,1,2020,10
8,Thu,Theft and Related Offences,Cashmere West,1,2020,10
9,Thu,Theft and Related Offences,Shirley East,1,2020,10
11,Thu,Theft and Related Offences,Woolston West,1,2020,11
18,Wed,Theft and Related Offences,Lyttelton,2,2021,1
21,Wed,Theft and Related Offences,Oaklands East,2,2021,1
7,Wed,Theft and Related Offences,Clarkville,2,2021,1
16,Wed,Theft and Related Offences,Riccarton,2,2021,1
8,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Parklands,1,2021,1
9,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Rawhiti,1,2021,1
9,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",West Melton,1,2021,1
20,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley,1,2020,9
18,Fri,Theft and Related Offences,Bromley,1,2020,10
18,Fri,Theft and Related Offences,Northcote,1,2020,10
20,Fri,Theft and Related Offences,Mcleans Island,1,2020,10
21,Fri,Theft and Related Offences,Hornby North,1,2020,10
3,Sun,Theft and Related Offences,Ilam,1,2021,5
14,Sun,Theft and Related Offences,Islington,1,2021,6
12,Sun,Theft and Related Offences,Islington,1,2021,7
18,Sun,Theft and Related Offences,Opawa,1,2021,8
12,Thu,Theft and Related Offences,Cathedral Square,1,2020,11
12,Thu,Theft and Related Offences,Riccarton,1,2020,11
13,Thu,Theft and Related Offences,Cashmere West,1,2020,11
13,Thu,Theft and Related Offences,Linwood North,1,2020,11
11,Sun,Theft and Related Offences,Yaldhurst,1,2021,4
0,Sun,Theft and Related Offences,Belfast,1,2021,5
20,Sun,Theft and Related Offences,Avon Loop,1,2021,5
10,Sun,Theft and Related Offences,Hagley Park,1,2021,6
14,Thu,Theft and Related Offences,Seaview,1,2020,11
16,Thu,Theft and Related Offences,Oaklands East,1,2020,11
16,Thu,Theft and Related Offences,Opawa,1,2020,11
16,Thu,Theft and Related Offences,Papanui,1,2020,11
8,Fri,Theft and Related Offences,Rangiora North,1,2020,10
15,Fri,Theft and Related Offences,Hornby North,1,2020,10
11,Fri,Theft and Related Offences,Rawhiti,1,2020,11
14,Fri,Theft and Related Offences,Avondale,1,2020,11
17,Thu,Theft and Related Offences,Linwood,1,2020,11
18,Thu,Theft and Related Offences,Addington,1,2020,11
18,Thu,Theft and Related Offences,Hornby North,1,2020,11
19,Thu,Theft and Related Offences,Barrington North,1,2020,11
1,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2020,9
1,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Hoon Hay South,1,2020,9
1,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Hoon Hay South,1,2020,9
13,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Wainoni,1,2020,9
4,Sun,Theft and Related Offences,Sumner,1,2021,8
0,Sun,Theft and Related Offences,Linwood,1,2021,2
13,Sun,Theft and Related Offences,Ashburton Central West,1,2021,2
14,Sun,Theft and Related Offences,Islington,1,2021,2
9,Fri,Theft and Related Offences,Yaldhurst,1,2020,11
11,Fri,Theft and Related Offences,Hornby North,1,2020,11
13,Fri,Theft and Related Offences,Middleton,1,2020,11
14,Fri,Theft and Related Offences,Northcote,1,2020,11
19,Thu,Theft and Related Offences,Rawhiti,1,2020,11
19,Thu,Theft and Related Offences,Rawhiti,1,2020,11
20,Thu,Theft and Related Offences,Avonhead West,1,2020,11
20,Thu,Theft and Related Offences,Hornby North,1,2020,11
16,Fri,Theft and Related Offences,Waimataitai,1,2020,11
11,Fri,Theft and Related Offences,Cathedral Square,1,2020,12
20,Fri,Theft and Related Offences,Bexley,1,2020,12
14,Fri,Theft and Related Offences,Parkside,1,2020,12
13,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton,1,2020,9
14,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Netherby,1,2020,9
15,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown,1,2020,9
17,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimataitai,1,2020,9
2,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Kaiapoi North East,1,2020,9
13,Sun,Theft and Related Offences,Kaiapoi North West,1,2021,3
20,Sun,Theft and Related Offences,Hagley Park,1,2021,3
3,Sun,Theft and Related Offences,Linwood North,1,2021,3
12,Sun,Theft and Related Offences,Cathedral Square,1,2021,4
20,Thu,Theft and Related Offences,Kaiapoi South,1,2020,11
21,Thu,Theft and Related Offences,Barrington North,1,2020,11
22,Thu,Theft and Related Offences,Sydenham,1,2020,11
23,Thu,Theft and Related Offences,Cashmere West,1,2020,11
16,Sun,Theft and Related Offences,Phillipstown,1,2021,4
2,Sun,Theft and Related Offences,Cathedral Square,1,2021,4
4,Sun,Theft and Related Offences,Redwood South,1,2021,4
11,Sun,Theft and Related Offences,Redwood South,1,2021,6
13,Fri,Theft and Related Offences,Springston,1,2021,1
19,Fri,Theft and Related Offences,Wainoni,1,2021,1
10,Fri,Theft and Related Offences,Wharenui,1,2021,1
11,Fri,Theft and Related Offences,Prestons,1,2021,1
18,Fri,Theft and Related Offences,Northcote,1,2021,1
15,Mon,Theft and Related Offences,Edgeware,1,2020,9
23,Mon,Theft and Related Offences,Allenton West,1,2020,11
7,Mon,Theft and Related Offences,Phillipstown,1,2020,11
11,Mon,Theft and Related Offences,Waltham,1,2020,12
16,Mon,Theft and Related Offences,Seaview,1,2020,12
20,Mon,Theft and Related Offences,Rawhiti,1,2020,12
21,Mon,Theft and Related Offences,Oaklands West,1,2020,12
23,Thu,Theft and Related Offences,Merivale,1,2020,11
4,Thu,Theft and Related Offences,Rolleston North East,1,2020,11
7,Thu,Theft and Related Offences,Hornby North,1,2020,11
7,Thu,Theft and Related Offences,Prestons,1,2020,11
3,Sun,Theft and Related Offences,Cathedral Square,1,2021,6
0,Sun,Theft and Related Offences,St Albans East,1,2021,7
22,Sun,Theft and Related Offences,Wainoni,1,2021,7
12,Sun,Theft and Related Offences,Kirwee,1,2021,8
2,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Cheviot,1,2020,9
23,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Riccarton West,1,2020,9
6,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Ensors,1,2020,9
7,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2020,9
18,Sun,Theft and Related Offences,Shirley West,1,2021,8
10,Sun,Theft and Related Offences,Washdyke,1,2021,3
14,Sun,Theft and Related Offences,Ashburton Central East,1,2021,3
9,Sun,Theft and Related Offences,Waimataitai,1,2021,3
13,Sun,Theft and Related Offences,Avonside,1,2021,4
8,Thu,Theft and Related Offences,Sydenham,1,2020,11
9,Thu,Theft and Related Offences,Riccarton,1,2020,11
9,Thu,Theft and Related Offences,Spreydon,1,2020,11
1,Thu,Theft and Related Offences,Seaview,1,2020,12
8,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Leeston,1,2020,9
8,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Hampstead,1,2020,9
9,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Netherby,1,2020,9
11,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2020,10
12,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Papanui,1,2020,10
12,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Hoon Hay,1,2020,10
13,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood,1,2020,10
13,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Woolston West,1,2020,10
15,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Clarkville,1,2020,10
13,Sun,Theft and Related Offences,Casebrook,1,2021,4
20,Sun,Theft and Related Offences,Sockburn,1,2021,4
11,Sun,Theft and Related Offences,Hornby North,1,2021,6
19,Sun,Theft and Related Offences,Riccarton,1,2021,6
10,Thu,Theft and Related Offences,Sydenham,1,2020,12
11,Thu,Theft and Related Offences,Islington,1,2020,12
12,Thu,Theft and Related Offences,Addington,1,2020,12
12,Thu,Theft and Related Offences,Sefton,1,2020,12
15,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Shirley East,1,2020,10
15,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora East,1,2020,10
16,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Northcote,1,2020,10
18,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown,1,2020,10
13,Thu,Theft and Related Offences,Casebrook,1,2020,12
13,Thu,Theft and Related Offences,Prestons,1,2020,12
15,Thu,Theft and Related Offences,Ashburton Central East,1,2020,12
15,Thu,Theft and Related Offences,Barrington North,1,2020,12
10,Sun,Theft and Related Offences,Hillmorton,1,2021,7
15,Sun,Theft and Related Offences,Northcote,1,2021,7
15,Sun,Theft and Related Offences,Shirley East,1,2021,7
23,Sun,Theft and Related Offences,Casebrook,1,2021,7
15,Thu,Theft and Related Offences,Linwood,1,2020,12
15,Thu,Theft and Related Offences,Sydenham,1,2020,12
16,Thu,Theft and Related Offences,Avonhead West,1,2020,12
16,Thu,Theft and Related Offences,Redwood North,1,2020,12
18,Sun,Theft and Related Offences,Mona Vale,1,2021,8
20,Sun,Theft and Related Offences,Rawhiti,1,2021,8
22,Thu,Theft and Related Offences,Moncks Bay,1,2021,2
1,Thu,Theft and Related Offences,Opawa,1,2021,4
20,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Avonhead West,1,2020,10
21,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2020,10
22,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Redwood South,1,2020,10
5,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton,1,2020,10
21,Thu,Theft and Related Offences,Clarkville,1,2021,4
7,Thu,Theft and Related Offences,Springston,1,2021,4
10,Thu,Theft and Related Offences,Allenton East,1,2021,5
22,Thu,Theft and Related Offences,Aranui,1,2021,5
15,Thu,Theft and Related Offences,Shirley East,1,2021,7
17,Thu,Theft and Related Offences,Addington,1,2020,12
17,Thu,Theft and Related Offences,Broomfield,1,2020,12
17,Thu,Theft and Related Offences,Waimate,1,2020,12
18,Thu,Theft and Related Offences,Linwood,1,2020,12
6,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby South,1,2020,10
7,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton,1,2020,10
0,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Edgeware,1,2020,11
10,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",Aranui,1,2020,11
