Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations
20,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Wainoni.,20,Canterbury Region,Christchurch City.,1/11/2020,2569400,Canterbury Region,Christchurch City,1
19,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Woolston West.,19,Canterbury Region,Christchurch City.,1/01/2021,2591603,Canterbury Region,Christchurch City,1
19,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Woolston West.,19,Canterbury Region,Christchurch City.,1/01/2021,2592500,Canterbury Region,Christchurch City,1
18,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,South Brighton.,18,Canterbury Region,Christchurch City.,1/12/2020,2556800,Canterbury Region,Christchurch City,1
23,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Richmond North.,23,Canterbury Region,Christchurch City.,1/12/2020,2698700,Canterbury Region,Christchurch City,1
9,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Sockburn.,9,Canterbury Region,Christchurch City.,1/12/2020,2476700,Canterbury Region,Christchurch City,1
7,Wed,"Robbery, Extortion and Related Offences",Waimakariri District,Aggravated Robbery,Rangiora Central.,7,Canterbury Region,Waimakariri District.,1/08/2021,2445300,Canterbury Region,Waimakariri District,1
0,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square.,0,Canterbury Region,Christchurch City.,1/11/2020,2648400,Canterbury Region,Christchurch City,1
12,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Selwyn District,"Unlawful Entry With Intent/Burglary, Break and Enter",Prebbleton.,12,Canterbury Region,Selwyn District.,1/11/2020,2499504,Canterbury Region,Selwyn District,1
7,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square.,7,Canterbury Region,Christchurch City.,1/11/2020,2649300,Canterbury Region,Christchurch City,1
8,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Mairehau.,8,Canterbury Region,Christchurch City.,1/11/2020,2679300,Canterbury Region,Christchurch City,1
13,Mon,Theft and Related Offences,Waimakariri District,"Theft (Except Motor Vehicles), N.E.C.",Cust.,13,Canterbury Region,Waimakariri District.,1/06/2021,2450804,Canterbury Region,Waimakariri District,1
14,Mon,Theft and Related Offences,Waimakariri District,"Theft (Except Motor Vehicles), N.E.C.",Southbrook.,14,Canterbury Region,Waimakariri District.,1/06/2021,2449201,Canterbury Region,Waimakariri District,1
15,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Oaklands East.,15,Canterbury Region,Christchurch City.,1/06/2021,2482100,Canterbury Region,Christchurch City,1
15,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Shirley West.,15,Canterbury Region,Christchurch City.,1/06/2021,2592900,Canterbury Region,Christchurch City,1
16,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Avon Loop.,16,Canterbury Region,Christchurch City.,1/06/2021,2654101,Canterbury Region,Christchurch City,1
18,Tue,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Woolston West.,18,Canterbury Region,Christchurch City.,1/05/2021,2592500,Canterbury Region,Christchurch City,1
14,Tue,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Ensors.,14,Canterbury Region,Christchurch City.,1/07/2021,2580500,Canterbury Region,Christchurch City,1
4,Tue,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Aranui.,4,Canterbury Region,Christchurch City.,1/03/2021,2573105,Canterbury Region,Christchurch City,1
22,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Linwood.,22,Canterbury Region,Christchurch City.,1/01/2021,2609400,Canterbury Region,Christchurch City,1
14,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Cathedral Square.,14,Canterbury Region,Christchurch City.,1/09/2020,2652000,Canterbury Region,Christchurch City,1
12,Sun,Acts Intended to Cause Injury,Selwyn District,Serious Assault Not Resulting in Injury,Lincoln.,12,Canterbury Region,Selwyn District.,1/10/2020,2718700,Canterbury Region,Selwyn District,1
0,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Ensors.,0,Canterbury Region,Christchurch City.,1/10/2020,2581700,Canterbury Region,Christchurch City,1
13,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Northcote.,13,Canterbury Region,Christchurch City.,1/10/2020,2665403,Canterbury Region,Christchurch City,1
20,Thu,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Ferrymead.,20,Canterbury Region,Christchurch City.,1/03/2021,2590400,Canterbury Region,Christchurch City,1
7,Thu,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Sockburn.,7,Canterbury Region,Christchurch City.,1/03/2021,2476700,Canterbury Region,Christchurch City,1
16,Thu,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Papanui.,16,Canterbury Region,Christchurch City.,1/04/2021,2662900,Canterbury Region,Christchurch City,1
15,Thu,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Northcote.,15,Canterbury Region,Christchurch City.,1/05/2021,2665000,Canterbury Region,Christchurch City,1
16,Mon,Theft and Related Offences,Selwyn District,"Theft (Except Motor Vehicles), N.E.C.",Southbridge.,16,Canterbury Region,Selwyn District.,1/12/2020,2726500,Canterbury Region,Selwyn District,1
13,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Ensors.,13,Canterbury Region,Christchurch City.,1/01/2021,2582200,Canterbury Region,Christchurch City,1
4,Sat,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Avonside.,4,Canterbury Region,Christchurch City.,1/12/2020,2613500,Canterbury Region,Christchurch City,1
9,Sat,Theft and Related Offences,Ashburton District,Theft of Motor Vehicle Parts or Contents,Hinds.,9,Canterbury Region,Ashburton District.,1/09/2020,2742900,Canterbury Region,Ashburton District,1
2,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Cathedral Square.,2,Canterbury Region,Christchurch City.,1/06/2021,2651300,Canterbury Region,Christchurch City,1
20,Fri,Acts Intended to Cause Injury,Waimate District,Common Assault,Waihao.,20,Canterbury Region,Waimate District.,1/06/2021,2818100,Canterbury Region,Waimate District,1
21,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Riccarton South.,21,Canterbury Region,Christchurch City.,1/06/2021,2476400,Canterbury Region,Christchurch City,1
23,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Cathedral Square.,23,Canterbury Region,Christchurch City.,1/06/2021,2651300,Canterbury Region,Christchurch City,1
5,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square.,5,Canterbury Region,Christchurch City.,1/07/2021,2648700,Canterbury Region,Christchurch City,1
6,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Riccarton.,6,Canterbury Region,Christchurch City.,1/07/2021,2474801,Canterbury Region,Christchurch City,1
19,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley.,19,Canterbury Region,Christchurch City.,1/08/2021,2579900,Canterbury Region,Christchurch City,1
22,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham.,22,Canterbury Region,Christchurch City.,1/08/2021,2621000,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Shirley East.,11,Canterbury Region,Christchurch City.,1/07/2021,2598800,Canterbury Region,Christchurch City,1
14,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Merivale.,14,Canterbury Region,Christchurch City.,1/07/2021,2676300,Canterbury Region,Christchurch City,1
14,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Rutland.,14,Canterbury Region,Christchurch City.,1/07/2021,2683200,Canterbury Region,Christchurch City,1
14,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Woolston South.,14,Canterbury Region,Christchurch City.,1/07/2021,2587900,Canterbury Region,Christchurch City,1
6,Fri,Theft and Related Offences,Timaru District,"Theft (Except Motor Vehicles), N.E.C.",Waimataitai.,6,Canterbury Region,Timaru District.,1/06/2021,2781500,Canterbury Region,Timaru District,1
7,Fri,Theft and Related Offences,Timaru District,"Theft (Except Motor Vehicles), N.E.C.",Temuka.,7,Canterbury Region,Timaru District.,1/06/2021,2766800,Canterbury Region,Timaru District,1
9,Fri,Theft and Related Offences,Hurunui District,"Theft (Except Motor Vehicles), N.E.C.",Hanmer Springs.,9,Canterbury Region,Hurunui District.,1/06/2021,2427002,Canterbury Region,Hurunui District,1
10,Fri,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Cathedral Square.,10,Canterbury Region,Christchurch City.,1/07/2021,2653200,Canterbury Region,Christchurch City,1
18,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Barrington North.,18,Canterbury Region,Christchurch City.,1/08/2021,2642300,Canterbury Region,Christchurch City,1
18,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Rapaki Track.,18,Canterbury Region,Christchurch City.,1/08/2021,2554002,Canterbury Region,Christchurch City,1
18,Tue,Theft and Related Offences,Waimakariri District,"Theft (Except Motor Vehicles), N.E.C.",Ravenswood.,18,Canterbury Region,Waimakariri District.,1/08/2021,2446601,Canterbury Region,Waimakariri District,1
19,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Oaklands East.,19,Canterbury Region,Christchurch City.,1/08/2021,2482100,Canterbury Region,Christchurch City,1
11,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Wainoni.,11,Canterbury Region,Christchurch City.,1/11/2020,2568200,Canterbury Region,Christchurch City,1
12,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Redwood South.,12,Canterbury Region,Christchurch City.,1/11/2020,2508000,Canterbury Region,Christchurch City,1
14,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora Central.,14,Canterbury Region,Waimakariri District.,1/11/2020,2446100,Canterbury Region,Waimakariri District,1
15,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Heathcote Valley.,15,Canterbury Region,Christchurch City.,1/11/2020,2554504,Canterbury Region,Christchurch City,1
14,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,St Albans East.,14,Canterbury Region,Christchurch City.,1/01/2021,2687900,Canterbury Region,Christchurch City,1
16,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,St Martins.,16,Canterbury Region,Christchurch City.,1/01/2021,2553403,Canterbury Region,Christchurch City,1
2,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Sydenham.,2,Canterbury Region,Christchurch City.,1/01/2021,2622802,Canterbury Region,Christchurch City,1
23,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Travis Wetland.,23,Canterbury Region,Christchurch City.,1/01/2021,2504008,Canterbury Region,Christchurch City,1
2,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Cathedral Square.,2,Canterbury Region,Christchurch City.,1/01/2021,2651000,Canterbury Region,Christchurch City,1
22,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Spreydon.,22,Canterbury Region,Christchurch City.,1/01/2021,2642900,Canterbury Region,Christchurch City,1
23,Fri,Acts Intended to Cause Injury,Selwyn District,Serious Assault Not Resulting in Injury,Selwyn-Rakaia.,23,Canterbury Region,Selwyn District.,1/09/2020,2727300,Canterbury Region,Selwyn District,1
23,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Ferrymead.,23,Canterbury Region,Christchurch City.,1/11/2020,2589600,Canterbury Region,Christchurch City,1
15,Wed,"Robbery, Extortion and Related Offences",Hurunui District,Aggravated Robbery,Amuri.,15,Canterbury Region,Hurunui District.,1/05/2021,2426801,Canterbury Region,Hurunui District,1
16,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Aranui.,16,Canterbury Region,Christchurch City.,1/01/2021,2575900,Canterbury Region,Christchurch City,1
19,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Hagley Park.,19,Canterbury Region,Christchurch City.,1/01/2021,2678400,Canterbury Region,Christchurch City,1
20,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Edgeware.,20,Canterbury Region,Christchurch City.,1/05/2021,2694400,Canterbury Region,Christchurch City,1
17,Tue,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Riccarton.,17,Canterbury Region,Christchurch City.,1/03/2021,2472800,Canterbury Region,Christchurch City,1
10,Tue,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Linwood North.,10,Canterbury Region,Christchurch City.,1/04/2021,2612900,Canterbury Region,Christchurch City,1
18,Tue,Theft and Related Offences,Selwyn District,Illegal Use of Property (Except Motor Vehicles),Rolleston South East.,18,Canterbury Region,Selwyn District.,1/04/2021,2719404,Canterbury Region,Selwyn District,1
16,Tue,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Northcote.,16,Canterbury Region,Christchurch City.,1/05/2021,2664200,Canterbury Region,Christchurch City,1
0,Sat,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Halswell West.,0,Canterbury Region,Christchurch City.,1/10/2020,2485000,Canterbury Region,Christchurch City,1
5,Sat,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Yaldhurst.,5,Canterbury Region,Christchurch City.,1/10/2020,2495000,Canterbury Region,Christchurch City,1
4,Sat,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Belfast South.,4,Canterbury Region,Christchurch City.,1/11/2020,2529009,Canterbury Region,Christchurch City,1
17,Sat,Theft and Related Offences,Selwyn District,Illegal Use of a Motor Vehicle,Rolleston South East.,17,Canterbury Region,Selwyn District.,1/12/2020,2719500,Canterbury Region,Selwyn District,1
6,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Paparua.,6,Canterbury Region,Christchurch City.,1/06/2021,2494600,Canterbury Region,Christchurch City,1
8,Fri,Acts Intended to Cause Injury,Hurunui District,Common Assault,Hurunui.,8,Canterbury Region,Hurunui District.,1/06/2021,2434401,Canterbury Region,Hurunui District,1
9,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Linwood North.,9,Canterbury Region,Christchurch City.,1/06/2021,2612502,Canterbury Region,Christchurch City,1
13,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Avonhead West.,13,Canterbury Region,Christchurch City.,1/07/2021,2532402,Canterbury Region,Christchurch City,1
22,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram.,22,Canterbury Region,Christchurch City.,1/08/2021,2480400,Canterbury Region,Christchurch City,1
3,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Papanui.,3,Canterbury Region,Christchurch City.,1/08/2021,2663000,Canterbury Region,Christchurch City,1
5,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square.,5,Canterbury Region,Christchurch City.,1/08/2021,2649400,Canterbury Region,Christchurch City,1
6,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Shirley East.,6,Canterbury Region,Christchurch City.,1/08/2021,2598302,Canterbury Region,Christchurch City,1
15,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Hagley Park.,15,Canterbury Region,Christchurch City.,1/07/2021,2678400,Canterbury Region,Christchurch City,1
15,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Wharenui.,15,Canterbury Region,Christchurch City.,1/07/2021,2539800,Canterbury Region,Christchurch City,1
16,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Avon Loop.,16,Canterbury Region,Christchurch City.,1/07/2021,2655900,Canterbury Region,Christchurch City,1
16,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Hornby North.,16,Canterbury Region,Christchurch City.,1/07/2021,2488300,Canterbury Region,Christchurch City,1
23,Fri,Acts Intended to Cause Injury,Timaru District,Serious Assault Not Resulting in Injury,Parkside.,23,Canterbury Region,Timaru District.,1/11/2020,2799300,Canterbury Region,Timaru District,1
20,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,New Brighton.,20,Canterbury Region,Christchurch City.,1/01/2021,2559300,Canterbury Region,Christchurch City,1
7,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Bromley.,7,Canterbury Region,Christchurch City.,1/01/2021,2580000,Canterbury Region,Christchurch City,1
19,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Paparua.,19,Canterbury Region,Christchurch City.,1/01/2021,2495500,Canterbury Region,Christchurch City,1
10,Fri,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Sydenham.,10,Canterbury Region,Christchurch City.,1/07/2021,2621400,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Addington.,11,Canterbury Region,Christchurch City.,1/07/2021,2658300,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Shirley East.,11,Canterbury Region,Christchurch City.,1/07/2021,2596200,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Timaru District,"Theft (Except Motor Vehicles), N.E.C.",Geraldine.,11,Canterbury Region,Timaru District.,1/07/2021,2763500,Canterbury Region,Timaru District,1
19,Tue,Theft and Related Offences,Selwyn District,"Theft (Except Motor Vehicles), N.E.C.",Rolleston North East.,19,Canterbury Region,Selwyn District.,1/08/2021,2719302,Canterbury Region,Selwyn District,1
2,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Avonhead West.,2,Canterbury Region,Christchurch City.,1/08/2021,2531500,Canterbury Region,Christchurch City,1
2,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Merivale.,2,Canterbury Region,Christchurch City.,1/08/2021,2676500,Canterbury Region,Christchurch City,1
20,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Barrington North.,20,Canterbury Region,Christchurch City.,1/08/2021,2642300,Canterbury Region,Christchurch City,1
16,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington.,16,Canterbury Region,Christchurch City.,1/11/2020,2659003,Canterbury Region,Christchurch City,1
18,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby North.,18,Canterbury Region,Christchurch City.,1/11/2020,2488801,Canterbury Region,Christchurch City,1
2,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Lehmans.,2,Canterbury Region,Waimakariri District.,1/11/2020,2450220,Canterbury Region,Waimakariri District,1
3,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Cust.,3,Canterbury Region,Waimakariri District.,1/11/2020,2450703,Canterbury Region,Waimakariri District,1
3,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Bishopdale.,3,Canterbury Region,Christchurch City.,1/11/2020,2522500,Canterbury Region,Christchurch City,1
0,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Linwood.,0,Canterbury Region,Christchurch City.,1/09/2020,2610200,Canterbury Region,Christchurch City,1
10,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Sawyers Arms.,10,Canterbury Region,Christchurch City.,1/09/2020,2527804,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Waimakariri District,Theft of Motor Vehicle Parts or Contents,Kaiapoi North West.,11,Canterbury Region,Waimakariri District.,1/09/2020,2450900,Canterbury Region,Waimakariri District,1
14,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Riccarton.,14,Canterbury Region,Christchurch City.,1/09/2020,2473200,Canterbury Region,Christchurch City,1
10,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Cathedral Square.,10,Canterbury Region,Christchurch City.,1/10/2020,2650500,Canterbury Region,Christchurch City,1
22,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Non-Aggravated Robbery,Linwood.,22,Canterbury Region,Christchurch City.,1/10/2020,2608500,Canterbury Region,Christchurch City,1
19,Wed,"Robbery, Extortion and Related Offences",Ashburton District,Non-Aggravated Robbery,Hampstead.,19,Canterbury Region,Ashburton District.,1/09/2020,2731200,Canterbury Region,Ashburton District,1
0,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Paparua.,0,Canterbury Region,Christchurch City.,1/12/2020,2495500,Canterbury Region,Christchurch City,2
12,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton.,12,Canterbury Region,Christchurch City.,1/12/2020,2539002,Canterbury Region,Christchurch City,1
17,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",Hurunui.,17,Canterbury Region,Hurunui District.,1/12/2020,2436201,Canterbury Region,Hurunui District,1
4,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North.,4,Canterbury Region,Waimakariri District.,1/12/2020,2443600,Canterbury Region,Waimakariri District,1
6,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Kaiapoi North West.,6,Canterbury Region,Waimakariri District.,1/12/2020,2452400,Canterbury Region,Waimakariri District,1
11,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham.,11,Canterbury Region,Christchurch City.,1/01/2021,2617900,Canterbury Region,Christchurch City,1
17,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Belfast South.,17,Canterbury Region,Christchurch City.,1/06/2021,2529005,Canterbury Region,Christchurch City,1
17,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Bromley.,17,Canterbury Region,Christchurch City.,1/06/2021,2579900,Canterbury Region,Christchurch City,1
17,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Bryndwr.,17,Canterbury Region,Christchurch City.,1/06/2021,2548502,Canterbury Region,Christchurch City,1
17,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",North Beach.,17,Canterbury Region,Christchurch City.,1/06/2021,2565800,Canterbury Region,Christchurch City,1
16,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Riccarton.,16,Canterbury Region,Christchurch City.,1/10/2020,2474801,Canterbury Region,Christchurch City,1
12,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,Ensors.,12,Canterbury Region,Christchurch City.,1/10/2020,2583100,Canterbury Region,Christchurch City,1
19,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,Bishopdale North.,19,Canterbury Region,Christchurch City.,1/10/2020,2526000,Canterbury Region,Christchurch City,1
3,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,Avon Loop.,3,Canterbury Region,Christchurch City.,1/10/2020,2657600,Canterbury Region,Christchurch City,1
18,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Addington.,18,Canterbury Region,Christchurch City.,1/06/2021,2658200,Canterbury Region,Christchurch City,1
18,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Fendalton.,18,Canterbury Region,Christchurch City.,1/06/2021,2543700,Canterbury Region,Christchurch City,1
18,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Mona Vale.,18,Canterbury Region,Christchurch City.,1/06/2021,2472500,Canterbury Region,Christchurch City,1
18,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",North Beach.,18,Canterbury Region,Christchurch City.,1/06/2021,2565800,Canterbury Region,Christchurch City,1
20,Wed,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Northcote.,20,Canterbury Region,Christchurch City.,1/07/2021,2663900,Canterbury Region,Christchurch City,1
8,Fri,Sexual Assault and Related Offences,Christchurch City,Aggravated Sexual Assault,Richmond North.,8,Canterbury Region,Christchurch City.,1/02/2021,2698700,Canterbury Region,Christchurch City,1
12,Fri,Sexual Assault and Related Offences,Christchurch City,Aggravated Sexual Assault,St Albans East.,12,Canterbury Region,Christchurch City.,1/04/2021,2691600,Canterbury Region,Christchurch City,1
15,Fri,Sexual Assault and Related Offences,Christchurch City,Aggravated Sexual Assault,Hornby North.,15,Canterbury Region,Christchurch City.,1/05/2021,2488604,Canterbury Region,Christchurch City,1
3,Tue,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Avon Loop.,3,Canterbury Region,Christchurch City.,1/05/2021,2655700,Canterbury Region,Christchurch City,1
16,Wed,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Redwood North.,16,Canterbury Region,Christchurch City.,1/02/2021,2503503,Canterbury Region,Christchurch City,1
19,Wed,Theft and Related Offences,Waimakariri District,Illegal Use of Property (Except Motor Vehicles),Rangiora North.,19,Canterbury Region,Waimakariri District.,1/04/2021,2443600,Canterbury Region,Waimakariri District,1
2,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Redwood South.,2,Canterbury Region,Christchurch City.,1/03/2021,2508600,Canterbury Region,Christchurch City,1
